Comment;clean_text;normalized_text;processed_text;tokens;aktor;isu;sentiment;pre_label;manual_label
Jangan nuruti kepala desa kepala desa itu tidak adil sama rakyatnya adil sama kroni kroninya aja tentara masuk koperasi itu betul sekaligus sebagai pemgawas;Jangan nuruti kepala desa kepala desa itu tidak adil sama rakyatnya adil sama kroni kroninya aja tentara masuk koperasi itu betul sekaligus sebagai pemgawas;jangan nuruti kepala desa kepala desa itu tidak adil sama rakyatnya adil sama kroni kroninya saja tni masuk koperasi itu betul sekaligus sebagai pemgawas;jangan nuruti kepala desa kepala desa itu tidak adil sama rakyatnya adil sama kroni kroninya saja tni masuk koperasi itu betul sekaligus sebagai pemgawas;['jangan', 'nuruti', 'kepala', 'desa', 'kepala', 'desa', 'itu', 'tidak', 'adil', 'sama', 'rakyatnya', 'adil', 'sama', 'kroni', 'kroninya', 'saja', 'tni', 'masuk', 'koperasi', 'itu', 'betul', 'sekaligus', 'sebagai', 'pemgawas'];TNI, Kades;Militerisasi;Menolak;Menolak;Menolak
Banyak jalan menuju korupsi..;Banyak jalan menuju korupsi;banyak jalan menuju korupsi;banyak jalan menuju korupsi;['banyak', 'jalan', 'menuju', 'korupsi'];Tidak Terdeteksi;Korupsi;Menolak;Menolak;Menolak
Negeri Sorganya Para KORUPTOR;Negeri Sorganya Para KORUPTOR;negeri sorganya para koruptor;negeri sorganya para koruptor;['negeri', 'sorganya', 'para', 'koruptor'];Tidak Terdeteksi;Korupsi;Menolak;Menolak;Menolak
Dibuka nggak laku langsung tutup, jangan mau jadi pegawai nya, pasti bakalan mangkrak;Dibuka nggak laku langsung tutup jangan mau jadi pegawai nya pasti bakalan mangkrak;dibuka tidak laku langsung tutup jangan mau jadi pegawai nya pasti bakalan mangkrak;dibuka tidak laku langsung tutup jangan mau jadi pegawai nya pasti bakalan mangkrak;['dibuka', 'tidak', 'laku', 'langsung', 'tutup', 'jangan', 'mau', 'jadi', 'pegawai', 'nya', 'pasti', 'bakalan', 'mangkrak'];Tidak Terdeteksi;Lainnya;Menolak;Menolak;Menolak
"Prabowo orang tidak pernah sengsara,makanya tidak faham & tidak mengerti kondisi desa.
OMON-OMON & pidato meledak-ledak teriak-teriak ANTEK ASING ANTEK ASING,hasilnya NOL besar,rupanya Dia sendiri yang ANTEK ASING.
Giliran dikritik malah diteror.
Berani melawan suara & keluhan mayoritas RAKYAT INDONESIA maka nasib si Wowo akan seperti Bapak mertuanya.
Tidak usah mikir 2 periode,1 periode saja belum tentu sampai tahun 2029(bila tetap ngeyel,bebal & DUNGU).";Prabowo orang tidak pernah sengsara makanya tidak faham tidak mengerti kondisi desa OMON OMON pidato meledak ledak teriak teriak ANTEK ASING ANTEK ASING hasilnya NOL besar rupanya Dia sendiri yang ANTEK ASING Giliran dikritik malah diteror Berani melawan suara keluhan mayoritas RAKYAT INDONESIA maka nasib si Wowo akan seperti Bapak mertuanya Tidak usah mikir 2 periode 1 periode saja belum tentu sampai tahun 2029 bila tetap ngeyel bebal DUNGU;prabowo orang tidak pernah sengsara makanya tidak faham tidak mengerti kondisi desa omon omon pidato meledak ledak teriak teriak antek asing antek asing hasilnya nol besar rupanya dia sendiri yang antek asing giliran dikritik malah diteror berani melawan suara keluhan mayoritas rakyat indonesia maka nasib si prabowo akan seperti bapak mertuanya tidak usah mikir 2 periode 1 periode saja belum tentu sampai tahun 2029 bila tetap ngeyel bebal dungu;prabowo orang tidak pernah sengsara makanya tidak faham tidak mengerti kondisi desa omon omon pidato meledak ledak teriak teriak antek asing antek asing hasilnya nol besar rupanya dia sendiri yang antek asing giliran dikritik malah diteror berani melawan suara keluhan mayoritas rakyat indonesia maka nasib si prabowo akan seperti bapak mertuanya tidak usah mikir periode periode saja belum tentu sampai tahun 2029 bila tetap ngeyel bebal dungu;['prabowo', 'orang', 'tidak', 'pernah', 'sengsara', 'makanya', 'tidak', 'faham', 'tidak', 'mengerti', 'kondisi', 'desa', 'omon', 'omon', 'pidato', 'meledak', 'ledak', 'teriak', 'teriak', 'antek', 'asing', 'antek', 'asing', 'hasilnya', 'nol', 'besar', 'rupanya', 'dia', 'sendiri', 'yang', 'antek', 'asing', 'giliran', 'dikritik', 'malah', 'diteror', 'berani', 'melawan', 'suara', 'keluhan', 'mayoritas', 'rakyat', 'indonesia', 'maka', 'nasib', 'si', 'prabowo', 'akan', 'seperti', 'bapak', 'mertuanya', 'tidak', 'usah', 'mikir', 'periode', 'periode', 'saja', 'belum', 'tentu', 'sampai', 'tahun', '2029', 'bila', 'tetap', 'ngeyel', 'bebal', 'dungu'];Prabowo;Lainnya;Netral;Netral;Menolak
Saya sebagai kaum rakyat jelata hanya bisa berdoa hilangkan keberkahan kebaikan bagi pemrintahan yg tidak memikirkan rakyatnya...;Saya sebagai kaum rakyat jelata hanya bisa berdoa hilangkan keberkahan kebaikan bagi pemrintahan yg tidak memikirkan rakyatnya;saya sebagai kaum rakyat jelata hanya bisa berdoa hilangkan keberkahan kebaikan bagi pemrintahan yang tidak memikirkan rakyatnya;saya sebagai kaum rakyat jelata hanya bisa berdoa hilangkan keberkahan kebaikan bagi pemrintahan yang tidak memikirkan rakyatnya;['saya', 'sebagai', 'kaum', 'rakyat', 'jelata', 'hanya', 'bisa', 'berdoa', 'hilangkan', 'keberkahan', 'kebaikan', 'bagi', 'pemrintahan', 'yang', 'tidak', 'memikirkan', 'rakyatnya'];Tidak Terdeteksi;Lainnya;Mendukung;Mendukung;Menolak
Konsep Koperasi Bung Hatta sangat bermanfaat bagi anggotanya, saya menjadi anggota kop dr 1989 s/d sekarang dan masih merasakan manfaatnya. Banyak koperasi yg kolep itu karena pengurusnya tidak becus dlm menjalankan usahanya serta pengawasnya ikut2an memanfaatkan untuk keuntungan pribadi.  YAK OPO REK.......;Konsep Koperasi Bung Hatta sangat bermanfaat bagi anggotanya saya menjadi anggota kop dr 1989 s d sekarang dan masih merasakan manfaatnya Banyak koperasi yg kolep itu karena pengurusnya tidak becus dlm menjalankan usahanya serta pengawasnya ikut2an memanfaatkan untuk keuntungan pribadi YAK OPO REK;konsep koperasi bung hatta sangat bermanfaat bagi anggotanya saya menjadi anggota kop dari 1989 s d sekarang dan masih merasakan manfaatnya banyak koperasi yang kolep itu karena pengurusnya tidak becus dalam menjalankan usahanya serta pengawasnya ikut2an memanfaatkan untuk keuntungan pribadi yak opo rek;konsep koperasi bung hatta sangat bermanfaat bagi anggotanya saya menjadi anggota kop dari 1989 sekarang dan masih merasakan manfaatnya banyak koperasi yang kolep itu karena pengurusnya tidak becus dalam menjalankan usahanya serta pengawasnya ikut2an memanfaatkan untuk keuntungan pribadi yak opo rek;['konsep', 'koperasi', 'bung', 'hatta', 'sangat', 'bermanfaat', 'bagi', 'anggotanya', 'saya', 'menjadi', 'anggota', 'kop', 'dari', '1989', 'sekarang', 'dan', 'masih', 'merasakan', 'manfaatnya', 'banyak', 'koperasi', 'yang', 'kolep', 'itu', 'karena', 'pengurusnya', 'tidak', 'becus', 'dalam', 'menjalankan', 'usahanya', 'serta', 'pengawasnya', 'ikut2an', 'memanfaatkan', 'untuk', 'keuntungan', 'pribadi', 'yak', 'opo', 'rek'];Tidak Terdeteksi;Pengelolaan;Diskusi;Diskusi;Diskusi
Kenapa kok kebijakannya selalu blunder? Karena presiden mudah dipengaruhi dan tak punya wibawa dihadapan bawahannya, prabowo itu punya perusahaan agrobisnis. Aneh perusahaan nasional untung malah ngak senang kan aneh gitu.;Kenapa kok kebijakannya selalu blunder Karena presiden mudah dipengaruhi dan tak punya wibawa dihadapan bawahannya prabowo itu punya perusahaan agrobisnis Aneh perusahaan nasional untung malah ngak senang kan aneh gitu;kenapa kebijakannya selalu blunder karena presiden mudah dipengaruhi dan tidak punya wibawa dihadapan bawahannya prabowo itu punya perusahaan agrobisnis aneh perusahaan nasional untung malah tidak senang aneh gitu;kenapa kebijakannya selalu blunder karena presiden mudah dipengaruhi dan tidak punya wibawa dihadapan bawahannya prabowo itu punya perusahaan agrobisnis aneh perusahaan nasional untung malah tidak senang aneh gitu;['kenapa', 'kebijakannya', 'selalu', 'blunder', 'karena', 'presiden', 'mudah', 'dipengaruhi', 'dan', 'tidak', 'punya', 'wibawa', 'dihadapan', 'bawahannya', 'prabowo', 'itu', 'punya', 'perusahaan', 'agrobisnis', 'aneh', 'perusahaan', 'nasional', 'untung', 'malah', 'tidak', 'senang', 'aneh', 'gitu'];Prabowo;Kebijakan;Diskusi;Diskusi;Menolak
Saya yakin ini program tergesa2?dan kemungkinan gagal itu besar,dan menjadi celah Bancakan politik?cth IDT ,zaman PK Harto? Cobarekut tenaga mantan PNPM pedesaan mendiri dan  x TPP yg di PHK sepihak Kemendes mereka berpengalaman bid pemberdayaan?;Saya yakin ini program tergesa2 dan kemungkinan gagal itu besar dan menjadi celah Bancakan politik cth IDT zaman PK Harto Cobarekut tenaga mantan PNPM pedesaan mendiri dan x TPP yg di PHK sepihak Kemendes mereka berpengalaman bid pemberdayaan;saya yakin ini program tergesa2 dan kemungkinan gagal itu besar dan menjadi celah bancakan politik cth idt zaman pk harto cobarekut tenaga mantan pnpm pedesaan mendiri dan tidak tpp yang di phk sepihak kemendes mereka berpengalaman bid pemberdayaan;saya yakin ini program tergesa2 dan kemungkinan gagal itu besar dan menjadi celah bancakan politik cth idt zaman pk harto cobarekut tenaga mantan pnpm pedesaan mendiri dan tidak tpp yang di phk sepihak kemendes mereka berpengalaman bid pemberdayaan;['saya', 'yakin', 'ini', 'program', 'tergesa2', 'dan', 'kemungkinan', 'gagal', 'itu', 'besar', 'dan', 'menjadi', 'celah', 'bancakan', 'politik', 'cth', 'idt', 'zaman', 'pk', 'harto', 'cobarekut', 'tenaga', 'mantan', 'pnpm', 'pedesaan', 'mendiri', 'dan', 'tidak', 'tpp', 'yang', 'di', 'phk', 'sepihak', 'kemendes', 'mereka', 'berpengalaman', 'bid', 'pemberdayaan'];Tidak Terdeteksi;Korupsi, Kebijakan;Diskusi;Diskusi;Diskusi
Alamak ladang korupsi nih;Alamak ladang korupsi nih;alamak korupsi;alamak korupsi;['alamak', 'korupsi'];Tidak Terdeteksi;Korupsi;Menolak;Menolak;Menolak
Terbukti negara yg cepat maju adalah negara yg otoriter atau negara monarki , Contohnya china, singapura, vietnam, uea, qatar, saudi. Sedangkan negara yg mengagungkan demokrasi bnyak yg ketinggalan krn bnyak konflik dan gaduh.;Terbukti negara yg cepat maju adalah negara yg otoriter atau negara monarki Contohnya china singapura vietnam uea qatar saudi Sedangkan negara yg mengagungkan demokrasi bnyak yg ketinggalan krn bnyak konflik dan gaduh;terbukti negara yang cepat maju adalah negara yang otoriter atau negara monarki contohnya china singapura vietnam uea qatar saudi sedangkan negara yang mengagungkan demokrasi bnyak yang ketinggalan karena bnyak konflik dan gaduh;terbukti negara yang cepat maju adalah negara yang otoriter atau negara monarki contohnya china singapura vietnam uea qatar saudi sedangkan negara yang mengagungkan demokrasi bnyak yang ketinggalan karena bnyak konflik dan gaduh;['terbukti', 'negara', 'yang', 'cepat', 'maju', 'adalah', 'negara', 'yang', 'otoriter', 'atau', 'negara', 'monarki', 'contohnya', 'china', 'singapura', 'vietnam', 'uea', 'qatar', 'saudi', 'sedangkan', 'negara', 'yang', 'mengagungkan', 'demokrasi', 'bnyak', 'yang', 'ketinggalan', 'karena', 'bnyak', 'konflik', 'dan', 'gaduh'];Tidak Terdeteksi;Lainnya;Diskusi;Diskusi;Diskusi
Gk berbobot kritik tanpa gagasan dan solusi;Gk berbobot kritik tanpa gagasan dan solusi;tidak berbobot kritik tanpa gagasan dan solusi;tidak berbobot kritik tanpa gagasan dan solusi;['tidak', 'berbobot', 'kritik', 'tanpa', 'gagasan', 'dan', 'solusi'];Tidak Terdeteksi;Lainnya;Mendukung;Mendukung;Menolak
Betul sekali kepala desa tdk dilibatkan, omon omon utk keluarga dan golongannya sendiri, ibu Pertiwi akan runtuh di tangan omon-omon;Betul sekali kepala desa tdk dilibatkan omon omon utk keluarga dan golongannya sendiri ibu Pertiwi akan runtuh di tangan omon omon;betul sekali kepala desa tidak dilibatkan omon omon untuk keluarga dan golongannya sendiri ibu pertiwi akan runtuh di tangan omon omon;betul sekali kepala desa tidak dilibatkan omon omon untuk keluarga dan golongannya sendiri ibu pertiwi akan runtuh di tangan omon omon;['betul', 'sekali', 'kepala', 'desa', 'tidak', 'dilibatkan', 'omon', 'omon', 'untuk', 'keluarga', 'dan', 'golongannya', 'sendiri', 'ibu', 'pertiwi', 'akan', 'runtuh', 'di', 'tangan', 'omon', 'omon'];Kades;Lainnya;Netral;Netral;Menolak
Coba tebak kira kira ada yang ketangkep kasus korupsi dana koprasi di masa depan apa tidak..??????;Coba tebak kira kira ada yang ketangkep kasus korupsi dana koprasi di masa depan apa tidak;coba tebak kira kira ada yang ketangkep kasus korupsi dana koperasi di masa depan apa tidak;coba tebak kira kira ada yang ketangkep kasus korupsi dana koperasi di masa depan apa tidak;['coba', 'tebak', 'kira', 'kira', 'ada', 'yang', 'ketangkep', 'kasus', 'korupsi', 'dana', 'koperasi', 'di', 'masa', 'depan', 'apa', 'tidak'];Tidak Terdeteksi;Korupsi;Menolak;Menolak;Menolak
"Anak saya ikut tes di hari ke-5 dari 10 hari tes. Alhamdulillah urutan ke-2 dari 300 peserta di sesinya.
Saya lihat tiap sesi yg memenuhi syarat hanya 3-4% saja. Makanya sampai hari kelima baru 11.000an yg memenuhi ambang nilai.
Sampai akhir pasti gak sampai 35.000 orang.
Harusnya langsung lolos semua tak perlu tes lanjutan (tes lanjutan disetting yg memenuhi nilai total 105.000 orang).
Anak saya tes murni, karena gak ada yang kenal dengan siapa² yg berwenang atau ada jabatan.
Terus masalah jawaban berubah, menurut anak saya jawaban tidak bisa diubah.
Kalaupun diubah akan balik ke jawaban pertama.";Anak saya ikut tes di hari ke 5 dari 10 hari tes Alhamdulillah urutan ke 2 dari 300 peserta di sesinya Saya lihat tiap sesi yg memenuhi syarat hanya 3 4 saja Makanya sampai hari kelima baru 11 000an yg memenuhi ambang nilai Sampai akhir pasti gak sampai 35 000 orang Harusnya langsung lolos semua tak perlu tes lanjutan tes lanjutan disetting yg memenuhi nilai total 105 000 orang Anak saya tes murni karena gak ada yang kenal dengan siapa2 yg berwenang atau ada jabatan Terus masalah jawaban berubah menurut anak saya jawaban tidak bisa diubah Kalaupun diubah akan balik ke jawaban pertama;anak saya ikut tes di hari ke 5 dari 10 hari tes alhamdulillah urutan ke 2 dari 300 peserta di sesinya saya lihat tiap sesi yang memenuhi syarat hanya 3 4 saja makanya sampai hari kelima baru 11 000an yang memenuhi ambang nilai sampai akhir pasti tidak sampai 35 000 orang harusnya langsung lolos semua tidak perlu tes lanjutan tes lanjutan disetting yang memenuhi nilai total 105 000 orang anak saya tes murni karena tidak ada yang kenal dengan siapa2 yang berwenang atau ada jabatan terus masalah jawaban berubah menurut anak saya jawaban tidak bisa diubah kalaupun diubah akan balik ke jawaban pertama;anak saya ikut tes di hari ke dari 10 hari tes alhamdulillah urutan ke dari 300 peserta di sesinya saya lihat tiap sesi yang memenuhi syarat hanya saja makanya sampai hari kelima baru 11 000an yang memenuhi ambang nilai sampai akhir pasti tidak sampai 35 000 orang harusnya langsung lolos semua tidak perlu tes lanjutan tes lanjutan disetting yang memenuhi nilai total 105 000 orang anak saya tes murni karena tidak ada yang kenal dengan siapa2 yang berwenang atau ada jabatan terus masalah jawaban berubah menurut anak saya jawaban tidak bisa diubah kalaupun diubah akan balik ke jawaban pertama;['anak', 'saya', 'ikut', 'tes', 'di', 'hari', 'ke', 'dari', '10', 'hari', 'tes', 'alhamdulillah', 'urutan', 'ke', 'dari', '300', 'peserta', 'di', 'sesinya', 'saya', 'lihat', 'tiap', 'sesi', 'yang', 'memenuhi', 'syarat', 'hanya', 'saja', 'makanya', 'sampai', 'hari', 'kelima', 'baru', '11', '000an', 'yang', 'memenuhi', 'ambang', 'nilai', 'sampai', 'akhir', 'pasti', 'tidak', 'sampai', '35', '000', 'orang', 'harusnya', 'langsung', 'lolos', 'semua', 'tidak', 'perlu', 'tes', 'lanjutan', 'tes', 'lanjutan', 'disetting', 'yang', 'memenuhi', 'nilai', 'total', '105', '000', 'orang', 'anak', 'saya', 'tes', 'murni', 'karena', 'tidak', 'ada', 'yang', 'kenal', 'dengan', 'siapa2', 'yang', 'berwenang', 'atau', 'ada', 'jabatan', 'terus', 'masalah', 'jawaban', 'berubah', 'menurut', 'anak', 'saya', 'jawaban', 'tidak', 'bisa', 'diubah', 'kalaupun', 'diubah', 'akan', 'balik', 'ke', 'jawaban', 'pertama'];Tidak Terdeteksi;Lainnya;Out_of_Topic;Out_of_Topic;Diskusi
rakyat disuruh mengelola koperasi pemerintah kelola Danatara.  hebatkan ??;rakyat disuruh mengelola koperasi pemerintah kelola Danatara hebatkan;rakyat disuruh mengelola koperasi pemerintah kelola danatara hebatkan;rakyat disuruh mengelola koperasi pemerintah kelola danatara hebatkan;['rakyat', 'disuruh', 'mengelola', 'koperasi', 'pemerintah', 'kelola', 'danatara', 'hebatkan'];Tidak Terdeteksi;Kebijakan;Mendukung;Mendukung;Menolak
Food ested ggl jg diulangi. KUDj jg pd tutup. Palinhg dikurup sm pengurusnya. Terus diancam untuk 29 piliih gibran.;Food ested ggl jg diulangi KUDj jg pd tutup Palinhg dikurup sm pengurusnya Terus diancam untuk 29 piliih gibran;food ested ggl juga diulangi kudj juga pd tutup palinhg dikurup sama pengurusnya terus diancam untuk 29 piliih gibran;food ested ggl juga diulangi kudj juga pd tutup palinhg dikurup sama pengurusnya terus diancam untuk 29 piliih gibran;['food', 'ested', 'ggl', 'juga', 'diulangi', 'kudj', 'juga', 'pd', 'tutup', 'palinhg', 'dikurup', 'sama', 'pengurusnya', 'terus', 'diancam', 'untuk', '29', 'piliih', 'gibran'];Tidak Terdeteksi;Pengelolaan, KUD;Diskusi;Diskusi;Menolak
Pemerintah sekarang selalu siap kasih solusi cepat buat masalah yang dialami masyarakat;Pemerintah sekarang selalu siap kasih solusi cepat buat masalah yang dialami masyarakat;pemerintah sekarang selalu siap kasih solusi cepat untuk masalah yang dialami masyarakat;pemerintah sekarang selalu siap kasih solusi cepat untuk masalah yang dialami masyarakat;['pemerintah', 'sekarang', 'selalu', 'siap', 'kasih', 'solusi', 'cepat', 'untuk', 'masalah', 'yang', 'dialami', 'masyarakat'];Tidak Terdeteksi;Kebijakan;Mendukung;Mendukung;Mendukung
Beliau udah pikun sih gimana mau berpikir sebaik Masi muda;Beliau udah pikun sih gimana mau berpikir sebaik Masi muda;beliau sudah pikun bagaimana mau berpikir sebaik masi muda;beliau sudah pikun bagaimana mau berpikir sebaik masi muda;['beliau', 'sudah', 'pikun', 'bagaimana', 'mau', 'berpikir', 'sebaik', 'masi', 'muda'];Tidak Terdeteksi;Lainnya;Mendukung;Mendukung;Menolak
LUMBUNG PANGAN INDONESIA SEJAHTERA AAMIIN;LUMBUNG PANGAN INDONESIA SEJAHTERA AAMIIN;lumbung pangan indonesia sejahtera aamiin;lumbung pangan indonesia sejahtera aamiin;['lumbung', 'pangan', 'indonesia', 'sejahtera', 'aamiin'];Tidak Terdeteksi;Lainnya;Netral;Netral;Netral
Nah kan,ujung2nya pasti begini,dapat bancakan baru ( lagi );Nah kan ujung2nya pasti begini dapat bancakan baru lagi;nah ujung2nya pasti begini dapat bancakan baru lagi;nah ujung2nya pasti begini dapat bancakan baru lagi;['nah', 'ujung2nya', 'pasti', 'begini', 'dapat', 'bancakan', 'baru', 'lagi'];Tidak Terdeteksi;Korupsi;Menolak;Menolak;Menolak
Tetap dukung prabowo krn pembangunan koprasi kl tdk di awasi oleh tentara anggaranya jadi bancaan Ramai2. Korupsi sdh merajalela dimana mana;Tetap dukung prabowo krn pembangunan koprasi kl tdk di awasi oleh tentara anggaranya jadi bancaan Ramai2 Korupsi sdh merajalela dimana mana;tetap dukung prabowo karena pembangunan koperasi kalau tidak di awasi oleh tni anggaranya jadi bancaan ramai2 korupsi sudah merajalela dimana mana;tetap dukung prabowo karena pembangunan koperasi kalau tidak di awasi oleh tni anggaranya jadi bancaan ramai2 korupsi sudah merajalela dimana mana;['tetap', 'dukung', 'prabowo', 'karena', 'pembangunan', 'koperasi', 'kalau', 'tidak', 'di', 'awasi', 'oleh', 'tni', 'anggaranya', 'jadi', 'bancaan', 'ramai2', 'korupsi', 'sudah', 'merajalela', 'dimana', 'mana'];TNI, Prabowo;Korupsi, Militerisasi;Diskusi;Diskusi;Mendukung
desaku baru saja musdes utk  bangun KDMP.. betul tentara ada dibalik KDMP dan MBG malah..;desaku baru saja musdes utk bangun KDMP betul tentara ada dibalik KDMP dan MBG malah;desaku baru saja musdes untuk bangun koperasi desa merah putih betul tni ada dibalik koperasi desa merah putih dan mbg malah;desaku baru saja musdes untuk bangun koperasi desa merah putih betul tni ada dibalik koperasi desa merah putih dan mbg malah;['desaku', 'baru', 'saja', 'musdes', 'untuk', 'bangun', 'koperasi', 'desa', 'merah', 'putih', 'betul', 'tni', 'ada', 'dibalik', 'koperasi', 'desa', 'merah', 'putih', 'dan', 'mbg', 'malah'];TNI, KDMP;Militerisasi;Netral;Netral;Netral
Keterlibatan TNI belum tentu negatif, bisa jadi buat percepatan dan pendampingan supaya programnya rapi. Soal dana desa juga pasti ada aturan dan pengawasan. Yuk lihat dulu hasil dan mekanismenya, jangan langsung diasumsikan macet.;Keterlibatan TNI belum tentu negatif bisa jadi buat percepatan dan pendampingan supaya programnya rapi Soal dana desa juga pasti ada aturan dan pengawasan Yuk lihat dulu hasil dan mekanismenya jangan langsung diasumsikan macet;keterlibatan tni belum tentu negatif bisa jadi untuk percepatan dan pendampingan supaya programnya rapi soal dana desa juga pasti ada aturan dan pengawasan yuk lihat dulu hasil dan mekanismenya jangan langsung diasumsikan macet;keterlibatan tni belum tentu negatif bisa jadi untuk percepatan dan pendampingan supaya programnya rapi soal dana desa juga pasti ada aturan dan pengawasan yuk lihat dulu hasil dan mekanismenya jangan langsung diasumsikan macet;['keterlibatan', 'tni', 'belum', 'tentu', 'negatif', 'bisa', 'jadi', 'untuk', 'percepatan', 'dan', 'pendampingan', 'supaya', 'programnya', 'rapi', 'soal', 'dana', 'desa', 'juga', 'pasti', 'ada', 'aturan', 'dan', 'pengawasan', 'yuk', 'lihat', 'dulu', 'hasil', 'dan', 'mekanismenya', 'jangan', 'langsung', 'diasumsikan', 'macet'];TNI;Militerisasi, Dana Desa, Kebijakan;Diskusi;Diskusi;Mendukung
Manager untuk mengurus badan usaha/ koperasi, yg menguji bais dan tentara.. kok di uji oleh petugas perang bukannya orang dari kalangan bisnis.;Manager untuk mengurus badan usaha koperasi yg menguji bais dan tentara kok di uji oleh petugas perang bukannya orang dari kalangan bisnis;manager untuk mengurus badan usaha koperasi yang menguji bais dan tni di uji oleh petugas perang bukannya orang dari kalangan bisnis;manager untuk mengurus badan usaha koperasi yang menguji bais dan tni di uji oleh petugas perang bukannya orang dari kalangan bisnis;['manager', 'untuk', 'mengurus', 'badan', 'usaha', 'koperasi', 'yang', 'menguji', 'bais', 'dan', 'tni', 'di', 'uji', 'oleh', 'petugas', 'perang', 'bukannya', 'orang', 'dari', 'kalangan', 'bisnis'];TNI;Militerisasi;Netral;Netral;Menolak
Iya di desa ku udah jadi anggotanya sodara bpd sama sodara kades;Iya di desa ku udah jadi anggotanya sodara bpd sama sodara kades;iya di desa ku sudah jadi anggotanya sodara bpd sama sodara kepala desa;iya di desa ku sudah jadi anggotanya sodara bpd sama sodara kepala desa;['iya', 'di', 'desa', 'ku', 'sudah', 'jadi', 'anggotanya', 'sodara', 'bpd', 'sama', 'sodara', 'kepala', 'desa'];Kades;Pengelolaan;Netral;Netral;Netral
Bagi kami rakyat program apapun tidak akan sampai ke rakyat, karena di desa itu kebangakan dinasty, jadi nyampe ke orang itu2 saja. 1 orang bahkan jd ptugas desa, jd guru, jd petugas pemilu seumur hidup, jd ktua usaha milik desa, jd pngurus mesjid, dll;Bagi kami rakyat program apapun tidak akan sampai ke rakyat karena di desa itu kebangakan dinasty jadi nyampe ke orang itu2 saja 1 orang bahkan jd ptugas desa jd guru jd petugas pemilu seumur hidup jd ktua usaha milik desa jd pngurus mesjid dll;bagi kami rakyat program apapun tidak akan sampai ke rakyat karena di desa itu kebangakan dinasty jadi nyampe ke orang itu2 saja 1 orang bahkan jadi ptugas desa jadi guru jadi petugas pemilu seumur hidup jadi ktua usaha milik desa jadi pngurus mesjid dan lain-lain;bagi kami rakyat program apapun tidak akan sampai ke rakyat karena di desa itu kebangakan dinasty jadi nyampe ke orang itu2 saja orang bahkan jadi ptugas desa jadi guru jadi petugas pemilu seumur hidup jadi ktua usaha milik desa jadi pngurus mesjid dan lain-lain;['bagi', 'kami', 'rakyat', 'program', 'apapun', 'tidak', 'akan', 'sampai', 'ke', 'rakyat', 'karena', 'di', 'desa', 'itu', 'kebangakan', 'dinasty', 'jadi', 'nyampe', 'ke', 'orang', 'itu2', 'saja', 'orang', 'bahkan', 'jadi', 'ptugas', 'desa', 'jadi', 'guru', 'jadi', 'petugas', 'pemilu', 'seumur', 'hidup', 'jadi', 'ktua', 'usaha', 'milik', 'desa', 'jadi', 'pngurus', 'mesjid', 'dan', 'lain-lain'];Tidak Terdeteksi;Kebijakan;Diskusi;Diskusi;Menolak
Coba tempo cek semua desa konsepnya sama;Coba tempo cek semua desa konsepnya sama;coba tempo cek semua desa konsepnya sama;coba tempo cek semua desa konsepnya sama;['coba', 'tempo', 'cek', 'semua', 'desa', 'konsepnya', 'sama'];Tempo;Media;Netral;Netral;Netral
Kalau bpk persiden niatnya bagus INSyya ALLOH terlaksana;Kalau bpk persiden niatnya bagus INSyya ALLOH terlaksana;kalau bpk persiden niatnya bagus insyya alloh terlaksana;kalau bpk persiden niatnya bagus insyya alloh terlaksana;['kalau', 'bpk', 'persiden', 'niatnya', 'bagus', 'insyya', 'alloh', 'terlaksana'];Tidak Terdeteksi;Lainnya;Mendukung;Mendukung;Mendukung
Kemarin sy ikut seleksi rekrutmen manajer KDMP disurabaya...kayaknya rekrutmen mmanejer  kdmp cuma formalitas saja...masak  kita diberi 50 soal dan hanya diberi waktu 7 menit...sy kira albert eastein pun tak akan mampu menjawab.;Kemarin sy ikut seleksi rekrutmen manajer KDMP disurabaya kayaknya rekrutmen mmanejer kdmp cuma formalitas saja masak kita diberi 50 soal dan hanya diberi waktu 7 menit sy kira albert eastein pun tak akan mampu menjawab;kemarin saya ikut seleksi rekrutmen manajer koperasi desa merah putih disurabaya kayaknya rekrutmen mmanejer koperasi desa merah putih hanya formalitas saja masak kita diberi 50 soal dan hanya diberi waktu 7 menit saya kira albert eastein pun tidak akan mampu menjawab;kemarin saya ikut seleksi rekrutmen manajer koperasi desa merah putih disurabaya kayaknya rekrutmen mmanejer koperasi desa merah putih hanya formalitas saja masak kita diberi 50 soal dan hanya diberi waktu menit saya kira albert eastein pun tidak akan mampu menjawab;['kemarin', 'saya', 'ikut', 'seleksi', 'rekrutmen', 'manajer', 'koperasi', 'desa', 'merah', 'putih', 'disurabaya', 'kayaknya', 'rekrutmen', 'mmanejer', 'koperasi', 'desa', 'merah', 'putih', 'hanya', 'formalitas', 'saja', 'masak', 'kita', 'diberi', '50', 'soal', 'dan', 'hanya', 'diberi', 'waktu', 'menit', 'saya', 'kira', 'albert', 'eastein', 'pun', 'tidak', 'akan', 'mampu', 'menjawab'];KDMP;Lainnya;Netral;Netral;Menolak
Prosesnya kurang baik;Prosesnya kurang baik;prosesnya kurang baik;prosesnya kurang baik;['prosesnya', 'kurang', 'baik'];Tidak Terdeteksi;Lainnya;Mendukung;Mendukung;Menolak
